id,title,channel,category,watched_at
1,Practical healthcare tips,Helpful Channel,Healthcare,2021-01-02T08:00:00+05:30
2,Meal prep ideas,Helpful Channel,Healthcare,2021-07-01T09:07:00+05:30
3,Home organization,Helpful Channel,Healthcare,2021-12-28T10:14:00+05:30
4,Family travel planning,Helpful Channel,Healthcare,2022-06-27T11:21:00+05:30
5,Budget spreadsheet walkthrough,Helpful Channel,Healthcare,2022-12-24T12:28:00+05:30
6,Beginner tech tutorial,Helpful Channel,Healthcare,2023-06-22T13:35:00+05:30
7,Practical healthcare tips,Helpful Channel,Healthcare,2023-12-20T14:42:00+05:30
8,Meal prep ideas,Helpful Channel,Healthcare,2024-06-17T15:49:00+05:30
9,Home organization,Helpful Channel,Healthcare,2024-12-14T16:56:00+05:30
10,Family travel planning,Helpful Channel,Healthcare,2025-06-13T17:03:00+05:30
11,Budget spreadsheet walkthrough,Helpful Channel,Healthcare,2025-12-10T08:10:00+05:30
12,Beginner tech tutorial,Helpful Channel,Healthcare,2026-06-08T09:17:00+05:30
