category	item	amount_usd	frequency	notes
Housing	Rent (2BR house, older neighborhood)	650	monthly	Affordable but basic
Utilities	Cooling + electric + water	140	monthly	Summer cooling significant
Transportation	2019 Subaru Outback payment	285	monthly	—
Transportation	Auto insurance	95	monthly	—
Transportation	Gas (long drives to field sites + El Paso)	180	monthly	—
Communications	Phone	55	monthly	iPhone 14
Communications	Spotify Premium	11.99	monthly	Cumbia / Chicano alt
Food	Groceries (local mercado + Costco El Paso)	300	monthly	—
Leatherwork	Supplies (hides + dyes + hardware)	125	monthly	From small Tennessee tannery
Health	Insurance (state employee plan)	0	monthly	Covered
Education	Student loans (Ridgemont State, income-driven)	180	monthly	$28K remaining at 4.8%
TOTAL	—	2021.99	monthly	Net salary ~$3200; surplus ~$1178
