id,type,title,artist,context,played_at
1,playlist,Focus Mix,Spotify,Healthcare,2021-01-02T08:00:00+05:30
2,podcast,Daily News Roundup,Spotify,Healthcare,2021-07-01T09:07:00+05:30
3,track,Sunday Reset,Spotify,Healthcare,2021-12-28T10:14:00+05:30
4,playlist,Road Trip,Spotify,Healthcare,2022-06-27T11:21:00+05:30
5,podcast,Deep Work,Spotify,Healthcare,2022-12-24T12:28:00+05:30
6,track,Family Kitchen,Spotify,Healthcare,2023-06-22T13:35:00+05:30
7,playlist,Focus Mix,Spotify,Healthcare,2023-12-20T14:42:00+05:30
8,podcast,Daily News Roundup,Spotify,Healthcare,2024-06-17T15:49:00+05:30
9,track,Sunday Reset,Spotify,Healthcare,2024-12-14T16:56:00+05:30
10,playlist,Road Trip,Spotify,Healthcare,2025-06-13T17:03:00+05:30
11,podcast,Deep Work,Spotify,Healthcare,2025-12-10T08:10:00+05:30
12,track,Family Kitchen,Spotify,Healthcare,2026-06-08T09:17:00+05:30
